,precision,recall,f1-score,support
0,1.0,0.9886363636363636,0.9942857142857142,88.0
1,0.9887640449438202,0.967032967032967,0.9777777777777779,91.0
2,0.9883720930232558,0.9883720930232558,0.9883720930232558,86.0
3,0.9753086419753086,0.8681318681318682,0.9186046511627908,91.0
4,0.9887640449438202,0.9565217391304348,0.9723756906077348,92.0
5,0.946236559139785,0.967032967032967,0.9565217391304348,91.0
6,0.989010989010989,0.989010989010989,0.989010989010989,91.0
7,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0
8,0.9361702127659575,1.0,0.967032967032967,88.0
9,0.9278350515463918,0.9782608695652174,0.9523809523809524,92.0
accuracy,0.9688542825361512,0.9688542825361512,0.9688542825361512,0.9688542825361512
macro avg,0.9696983376479764,0.9691763901507882,0.9688738265020351,899.0
weighted avg,0.9696092010839529,0.9688542825361512,0.9686644837258652,899.0
